cvs_address_from_website,failed_first_try,cvs_address_corrected,correction_method
"895 Ralph Abernathy Blvd., Sw Atlanta, GA 30310",no,"895 Ralph Abernathy Blvd., Sw Atlanta, GA 30310",
"1275 Caroline St Ne Atlanta, GA 30307",no,"1275 Caroline St Ne Atlanta, GA 30307",
"842 Peachtree Street, Ne Atlanta, GA 30308",no,"842 Peachtree Street, Ne Atlanta, GA 30308",
"6370 Powers Ferry Rd. Atlanta, GA 30339",no,"6370 Powers Ferry Rd. Atlanta, GA 30339",
"3221 Peachtree Road Ne Atlanta, GA 30305",no,"3221 Peachtree Road Ne Atlanta, GA 30305",
"1554 N Decatur Road, Emory Village Atlanta, GA 30307",no,"1554 N Decatur Road, Emory Village Atlanta, GA 30307",
"439 Highland Ave. Ne Atlanta, GA 30312",no,"439 Highland Ave. Ne Atlanta, GA 30312",
"100 Perimeter Center Pl Ne Atlanta, GA 30346",no,"100 Perimeter Center Pl Ne Atlanta, GA 30346",
"680 Ponce De Leon Avenue Ne Atlanta, GA 30308",no,"680 Ponce De Leon Avenue Ne Atlanta, GA 30308",
"2237 Cascade Road Sw Atlanta, GA 30311",no,"2237 Cascade Road Sw Atlanta, GA 30311",
"2539 Piedmont Rd Ne Atlanta, GA 30324",no,"2539 Piedmont Rd Ne Atlanta, GA 30324",
"2555 Bolton Rd Atlanta, GA 30318",no,"2555 Bolton Rd Atlanta, GA 30318",
"520 Boulevard Se Atlanta, GA 30312",no,"520 Boulevard Se Atlanta, GA 30312",
"4300 Paces Ferry Rd Se, Suite 170, Vinings Jubilee Shopping Center Atlanta, GA 30339",no,"4300 Paces Ferry Rd Se, Suite 170, Vinings Jubilee Shopping Center Atlanta, GA 30339",
"2014 Powers Ferry Rd. Nw, Suite #2086, Parkwood Circle Shopping Plaza Atlanta, GA 30339",yes,"2014 Powers Ferry Rd. Nw, Parkwood Circle Shopping Plaza Atlanta, GA 30339",removed suite number
"1943 Peachtree Road, Ne, Across From Piedmont Hospital Atlanta, GA 30309",yes,"1943 Peachtree Road, Ne, Atlanta, GA 30309","removed ""across from hospital"""
"3030 Headland Dr. Atlanta, GA 30311",no,"3030 Headland Dr. Atlanta, GA 30311",
"1520 Avenue Place, Suite B-100 Atlanta, GA 30329",no,"1520 Avenue Place, Suite B-100 Atlanta, GA 30329",
"1610 Mt. Vernon Rd, Ste #100 Atlanta, GA 30338",yes,"1610 Mt. Vernon Rd, Atlanta, GA 30338",removed suite number
"375 18th St Nw Atlanta, GA 30363",no,"375 18th St Nw Atlanta, GA 30363",
"3615 Clairmont Road Atlanta, GA 30319",no,"3615 Clairmont Road Atlanta, GA 30319",
"3637 Peachtree Road, Ne Atlanta, GA 30319",no,"3637 Peachtree Road, Ne Atlanta, GA 30319",
"2400 N Druid Hills Rd Ne Atlanta, GA",no,"2400 N Druid Hills Rd Ne Atlanta, GA",
"5815 Campbellton Rd. Atlanta, GA 30331",no,"5815 Campbellton Rd. Atlanta, GA 30331",
"3401 Northside Pkwy Nw Atlanta, GA 30327",no,"3401 Northside Pkwy Nw Atlanta, GA 30327",
"1544 Piedmont Ave Ne Atlanta, GA 30324",no,"1544 Piedmont Ave Ne Atlanta, GA 30324",
"2910 Buford Hwy Atlanta, GA 30329",no,"2910 Buford Hwy Atlanta, GA 30329",
"2350 Cheshire Bridge Road Atlanta, GA 30324",no,"2350 Cheshire Bridge Road Atlanta, GA 30324",
"2429 Martin Luther King Jr. Dr. Atlanta, GA 30311",no,"2429 Martin Luther King Jr. Dr. Atlanta, GA 30311",
"235 Peachtree St. Ne, Suite C24 Atlanta, GA 30303",no,"235 Peachtree St. Ne, Suite C24 Atlanta, GA 30303",
"1455 Moreland Ave. Atlanta, GA 30316",no,"1455 Moreland Ave. Atlanta, GA 30316",
"2830 N. Druid Hills Rd. Ne Atlanta, GA 30329",no,"2830 N. Druid Hills Rd. Ne Atlanta, GA 30329",
